name,url,keyword,members,description
,https://www.facebook.com/groups/,physiotherapy,0,
Physiotherapy Skills & Knowledge,https://www.facebook.com/groups/577021929737254/,physiotherapy,0,
Physiotherapy WORLDWIDE friends,https://www.facebook.com/groups/1777805275789713/,physiotherapy,0,
National International physiotherapy jobs update,https://www.facebook.com/groups/1049844428482157/,physiotherapy,0,
PWI (Physiotherapy Workshops India),https://www.facebook.com/groups/275438276151751/,physiotherapy,0,
Physiotherapy Jobs & Equipment Buy & Sell,https://www.facebook.com/groups/847922195599970/,physiotherapy,0,
PHYSIOTHERAPY AWARENESS INDIA,https://www.facebook.com/groups/132413153582534/,physiotherapy,0,
SPORTS PHYSIOTHERAPY,https://www.facebook.com/groups/sportsphysiotherapy/,physiotherapy,0,
Physiotherapy Recent Updates,https://www.facebook.com/groups/2055502074672023/,physiotherapy,0,
International Physiotherapy News,https://www.facebook.com/groups/207684486033178/,physiotherapy,0,
Continuing Physio-therapy Education,https://www.facebook.com/groups/1680874308613268/,physiotherapy,0,
Physiotherapy,https://www.facebook.com/groups/3954064596/,physiotherapy,0,
International physiotherapist/physical therapist brotherhood organisation,https://www.facebook.com/groups/indianphysiotherapy/,physiotherapy,0,
❤️ Physiotherapy Practice ❤️,https://www.facebook.com/groups/544777502842846/,physiotherapy,0,
World Physiotherapist,https://www.facebook.com/groups/392343290829487/,physiotherapy,0,
Physiotherapy Consultancy And Physiotherapist,https://www.facebook.com/groups/447116368720027/,physiotherapy,0,
PHYSIOTHERAPY,https://www.facebook.com/groups/159450557413095/,physiotherapy,0,
Physiotherapy Workshop,https://www.facebook.com/groups/356438217772397/,physio,0,
PHYSIO-WORLD,https://www.facebook.com/groups/364974956982145/,physio,0,
PHYSIOTHERAPY TO THE WORLD,https://www.facebook.com/groups/512417446195762/,physio,0,
